movieNm,audiAcc,openDt,movieCd,movieNmEn,prdtYear,typeNm,nations,genres,directors,actors,watchGradeNm,distributors,search_4w_before,search_2w_before,search_1w_before,search_opening,search_1w_after,max_search,avg_search,search_volatility,search_growth_rate,director_power,actor_power,ticket_power,genre_애니메이션,genre_어드벤처,genre_사극,genre_SF,genre_멜로/로맨스,genre_다큐멘터리,genre_뮤지컬,genre_판타지,genre_공연,genre_전쟁,genre_공포(호러),genre_서부극(웨스턴),genre_드라마,genre_액션,genre_범죄,genre_기타,genre_스릴러,genre_성인물(에로),genre_코미디,genre_미스터리,genre_가족,genre_Unknown,release_month,release_quarter,release_year,release_dayofweek,is_weekend,season,season_fall,season_spring,season_summer_peak,season_winter_peak,distributor_freq,distributor_target,watchGrade_encoded
#살아있다,1903703,2020-06-24,20193069,#ALIVE,2019.0,장편,한국,드라마,조일형,"유아인,박신혜,전배수,김학선,김현우",15세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트,20.9,41.4,55.8,66.3,49.9,66.3,43.04999999999999,17.923699394935184,1.6698564593301435,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,2.0,2020.0,2.0,0,spring,False,True,False,False,45.0,1070198.6666666667,4
#아이엠히어,14393,2021-01-14,20197277,#iamhere,2019.0,장편,프랑스,"멜로/로맨스,코미디",에릭 라티고,"알랭 샤바,배두나,이명자,선종남,김자금",12세이상관람가,(주)넥스트엔터테인먼트월드(NEW),7.1,13.9,20.8,25.9,16.0,25.9,15.166666666666666,7.432271972059867,1.9295774647887327,28339.5,28339.5,28339.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0,2021.0,3.0,0,winter_peak,False,False,False,True,48.0,729959.3541666666,1
007 노 타임 투 다이,1222296,2021-09-29,20191061,007 No Time To Die,2021.0,장편,미국,액션,캐리 후쿠나가,"다니엘 크레이그,라미 말렉,라샤냐 린치,레아 세이두,벤 위쇼",12세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),17.5,35.6,60.3,73.0,38.9,73.0,41.266666666666666,21.59432024090285,2.4457142857142857,28339.5,798920.0,490687.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,3.0,2021.0,2.0,0,fall,True,False,False,False,66.0,676705.0454545454,1
100% 울프: 푸들이 될 순 없어,14153,2020-12-24,20202128,100% Wolf,2020.0,장편,호주,애니메이션,알렉스 스타더만,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구",전체관람가,(주)팝엔터테인먼트,5.0,5.9,9.6,10.9,7.1,10.9,7.25,2.482539022855432,0.9199999999999999,28339.5,28339.5,28339.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,4.0,2020.0,3.0,0,winter_peak,False,False,False,True,27.0,21195.37037037037,11
1917,860622,2020-02-19,20192399,1917,2019.0,장편,미국,"드라마,전쟁",샘 멘데스,"조지 맥케이,딘-찰스 채프먼,콜린 퍼스,베네딕트 컴버배치,마크 스트롱",15세이상관람가,(주)스마일이엔티,10.6,23.8,39.7,39.4,23.6,39.7,26.5,11.227822584989488,2.7452830188679247,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0,1.0,2020.0,2.0,0,winter_peak,False,False,False,True,11.0,128827.18181818182,4
1942: 언노운 배틀,4634,2020-07-29,20200601,Unknown Battle,2019.0,장편,러시아,전쟁,오윤동,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구",15세이상관람가,(주)제이앤씨미디어그룹,6.2,12.5,16.3,17.2,13.5,17.2,11.966666666666667,4.826454875648033,1.6290322580645162,28339.5,28339.5,28339.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,3.0,2020.0,2.0,0,summer_peak,False,False,True,False,20.0,16696.45,4
1947 보스톤,1012420,2023-09-27,20197122,Road to Boston,2020.0,장편,한국,드라마,강제규,"하정우,임시완,배성우,김상호,오희준",12세이상관람가,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",26.0,44.2,56.4,68.9,37.5,68.9,42.483333333333334,17.970355218154893,1.169230769230769,2546967.0,2647834.75,2607487.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,3.0,2023.0,2.0,0,fall,True,False,False,False,1.0,1012420.0,1
1980,36829,2024-03-27,20219375,1980: The unforgettable day,2024.0,장편,한국,드라마,강승용,"강신일,김규리,백성현,한수연,박준혁",12세이상관람가,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",7.7,16.1,22.9,27.3,15.4,27.3,16.683333333333334,7.346405016514313,1.9740259740259738,28339.5,58650.0,46525.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,1.0,2024.0,2.0,0,fall,True,False,False,False,3.0,20776.333333333332,1
1984 최동원,5322,2021-11-11,20201876,"1984, CHOI Dong-won",2020.0,장편,한국,다큐멘터리,조은성,"최동원,조진웅",전체관람가,(주)트리플픽쳐스,5.0,8.2,14.8,16.8,9.3,16.8,9.85,4.957317823178175,1.9600000000000002,28339.5,28339.5,28339.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,4.0,2021.0,3.0,0,fall,True,False,False,False,15.0,18078.6,11
"1초 앞, 1초 뒤",18418,2024-06-19,20240189,"One Second Ahead, One Second Behind",2023.0,장편,일본,"멜로/로맨스,판타지",야마시타 노부히로,"오카다 마사키,키요하라 카야,히이라기 히나타",전체관람가,"(주)빌리언스플러스,(주)블루라벨픽쳐스",7.4,13.1,21.4,24.9,15.3,24.9,15.366666666666667,6.687799837515075,1.8918918918918917,28339.5,55107.0,44400.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,2024.0,2.0,0,spring,False,True,False,False,2.0,11331.0,11
