date,rank,movieCd,movieNm,openDt,salesAmt,audiCnt,audiAcc,scrnCnt,showCnt
2020-01-01,1,20192206,백두산,2019-12-19,4430968920,498802,6789304,1236,5845
2020-01-01,2,20184571,천문: 하늘에 묻는다,2019-12-26,2092505020,239149,1204773,929,3439
2020-01-01,3,20198414,시동,2019-12-18,1691272350,190455,2716441,801,2997
2020-01-01,4,20196272,미드웨이,2019-12-31,1561075860,174407,307780,810,2614
2020-01-01,5,20197803,겨울왕국 2,2019-11-21,727968600,83529,13452593,665,1459
2020-01-01,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,373173440,46436,718558,539,900
2020-01-01,7,20192401,포드 V 페라리,2019-12-04,231285920,24650,1233057,195,378
2020-01-01,8,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,212853200,23488,23639,228,860
2020-01-01,9,20198430,나이브스 아웃,2019-12-04,134675900,14532,681943,144,272
2020-01-01,10,20199981,눈의 여왕4,2019-12-24,117990360,14465,158318,271,321
2020-01-02,1,20192206,백두산,2019-12-19,997483800,125013,6914317,1241,5536
2020-01-02,2,20184571,천문: 하늘에 묻는다,2019-12-26,499773350,63427,1268200,904,3341
2020-01-02,3,20198414,시동,2019-12-18,463243940,57175,2773616,779,2859
2020-01-02,4,20196272,미드웨이,2019-12-31,452837080,55793,363573,797,2693
2020-01-02,5,20197803,겨울왕국 2,2019-11-21,228680460,28801,13481394,596,1253
2020-01-02,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,126831180,17328,735886,456,685
2020-01-02,7,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,64817300,8560,32199,228,823
2020-01-02,8,20192401,포드 V 페라리,2019-12-04,72961660,8516,1241573,198,387
2020-01-02,9,20183002,해치지않아,2020-01-15,63660000,7589,22626,44,44
2020-01-02,10,20198430,나이브스 아웃,2019-12-04,55727980,6599,688542,147,279
2020-01-03,1,20192206,백두산,2019-12-19,1035750260,118696,7033013,1193,5565
2020-01-03,2,20184571,천문: 하늘에 묻는다,2019-12-26,585181830,68227,1336427,897,3413
2020-01-03,3,20196272,미드웨이,2019-12-31,537679920,60808,424381,816,2858
2020-01-03,4,20198414,시동,2019-12-18,509892160,57987,2831603,774,2870
2020-01-03,5,20197803,겨울왕국 2,2019-11-21,234917700,26833,13508227,609,1255
2020-01-03,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,126574480,15749,751635,456,673
2020-01-03,7,20192401,포드 V 페라리,2019-12-04,94895360,10056,1251629,200,397
2020-01-03,8,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,71365900,8445,40644,225,803
2020-01-03,9,20198430,나이브스 아웃,2019-12-04,68102660,7431,695973,155,290
2020-01-03,10,20199981,눈의 여왕4,2019-12-24,43443260,5397,169469,219,252
2020-01-04,1,20192206,백두산,2019-12-19,2128994980,241066,7274079,1222,5709
2020-01-04,2,20184571,천문: 하늘에 묻는다,2019-12-26,1300064990,149292,1485719,921,3622
2020-01-04,3,20196272,미드웨이,2019-12-31,1193781680,133946,558327,842,2981
2020-01-04,4,20198414,시동,2019-12-18,980997700,110718,2942321,825,2984
2020-01-04,5,20197803,겨울왕국 2,2019-11-21,406329980,46043,13554270,644,1391
2020-01-04,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,232514830,28965,780600,507,810
2020-01-04,7,20192401,포드 V 페라리,2019-12-04,203296580,21141,1272770,204,424
2020-01-04,8,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,121090000,13706,54350,212,702
2020-01-04,9,20198430,나이브스 아웃,2019-12-04,121429580,13152,709125,142,274
2020-01-04,10,20199981,눈의 여왕4,2019-12-24,64316240,7939,177408,246,288
2020-01-05,1,20192206,백두산,2019-12-19,1809882740,205310,7479389,1215,5548
2020-01-05,2,20184571,천문: 하늘에 묻는다,2019-12-26,1087854240,125680,1611399,922,3521
2020-01-05,3,20196272,미드웨이,2019-12-31,987319520,111470,669797,839,2918
2020-01-05,4,20198414,시동,2019-12-18,846061220,95460,3037781,802,2912
2020-01-05,5,20197803,겨울왕국 2,2019-11-21,348807660,39657,13593927,641,1363
2020-01-05,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,240574900,29699,810299,513,825
2020-01-05,7,20192401,포드 V 페라리,2019-12-04,153774100,16183,1288953,203,420
2020-01-05,8,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,105711000,12016,66366,216,675
2020-01-05,9,20198430,나이브스 아웃,2019-12-04,98379680,10675,719800,146,289
2020-01-05,10,20199981,눈의 여왕4,2019-12-24,60428340,7393,184801,250,291
2020-01-06,1,20192206,백두산,2019-12-19,576165280,71674,7551063,1146,5088
2020-01-06,2,20184571,천문: 하늘에 묻는다,2019-12-26,324735340,40871,1652270,873,3299
2020-01-06,3,20196272,미드웨이,2019-12-31,302353160,37037,706834,772,2829
2020-01-06,4,20198414,시동,2019-12-18,289139340,35338,3073119,739,2785
2020-01-06,5,20197803,겨울왕국 2,2019-11-21,117873800,14574,13608501,571,1167
2020-01-06,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,61169800,8356,818655,423,621
2020-01-06,7,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,57217500,7718,74084,204,621
2020-01-06,8,20192401,포드 V 페라리,2019-12-04,47763520,5565,1294518,193,395
2020-01-06,9,20183002,해치지않아,2020-01-15,47693000,5347,28679,24,25
2020-01-06,10,20198430,나이브스 아웃,2019-12-04,40368620,4743,724543,160,310
2020-01-07,1,20192206,백두산,2019-12-19,572810270,71911,7622974,1171,5046
2020-01-07,2,20184571,천문: 하늘에 묻는다,2019-12-26,328800060,41623,1693893,873,3287
2020-01-07,3,20198414,시동,2019-12-18,286957840,35312,3108431,747,2787
2020-01-07,4,20196272,미드웨이,2019-12-31,286206460,35278,742112,788,2804
2020-01-07,5,20197803,겨울왕국 2,2019-11-21,118655900,14913,13623414,597,1185
2020-01-07,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,61446420,8370,827025,431,626
2020-01-07,7,20198818,프린스 코기,2019-12-24,44430780,7833,177351,198,234
2020-01-07,8,20192401,포드 V 페라리,2019-12-04,50889120,5886,1300404,196,401
2020-01-07,9,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,42250500,5664,79748,203,611
2020-01-07,10,20198430,나이브스 아웃,2019-12-04,42965720,5038,729581,163,310
2020-01-08,1,20199581,닥터 두리틀,2020-01-08,860829200,107984,108385,1016,4439
2020-01-08,2,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,654452510,73090,74338,957,3592
2020-01-08,3,20192206,백두산,2019-12-19,455463800,56626,7679600,864,3374
2020-01-08,4,20184571,천문: 하늘에 묻는다,2019-12-26,224348340,28562,1722455,688,2051
2020-01-08,5,20198414,시동,2019-12-18,184764060,22536,3130967,590,1591
2020-01-08,6,20196272,미드웨이,2019-12-31,172700760,21496,763608,577,1516
2020-01-08,7,20197803,겨울왕국 2,2019-11-21,68569440,8690,13632104,384,593
2020-01-08,8,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,34771940,4645,831670,233,283
2020-01-08,9,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,30820800,4201,83949,147,233
2020-01-08,10,20183002,해치지않아,2020-01-15,29296000,3476,36686,17,17
2020-01-09,1,20199581,닥터 두리틀,2020-01-08,827211890,103493,211878,1085,4573
2020-01-09,2,20192206,백두산,2019-12-19,411452030,51441,7731041,851,3230
2020-01-09,3,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,403202790,45219,119557,947,3444
2020-01-09,4,20184571,천문: 하늘에 묻는다,2019-12-26,200610590,26268,1748723,679,1957
2020-01-09,5,20198414,시동,2019-12-18,159452560,19667,3150634,600,1501
2020-01-09,6,20196272,미드웨이,2019-12-31,142658260,17616,781224,577,1447
2020-01-09,7,20197803,겨울왕국 2,2019-11-21,72022980,9258,13641362,379,568
2020-01-09,8,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,33263940,4506,836176,226,268
2020-01-09,9,20198430,나이브스 아웃,2019-12-04,25421480,2968,735633,96,151
2020-01-09,10,20192401,포드 V 페라리,2019-12-04,23372240,2754,1306099,129,189
2020-01-10,1,20199581,닥터 두리틀,2020-01-08,1121469180,129060,340938,1137,4944
2020-01-10,2,20192206,백두산,2019-12-19,467789180,52933,7783974,881,3284
2020-01-10,3,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,475912240,48488,168045,948,3407
