movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,nations,genres,directors,actors,watchGradeNm,distributors
20192206,백두산,ASHFALL,2019,20191219,장편,한국,"어드벤처,드라마","김병서,이해준","이병헌,하정우,마동석,전혜진,배수지",12세이상관람가,"(주)씨제이이엔엠,(주)덱스터스튜디오"
20184571,천문: 하늘에 묻는다,Forbidden Dream,2019,20191226,장편,한국,사극,허진호,"최민식,한석규,신구,김홍파,허준호",12세이상관람가,롯데컬처웍스(주)롯데엔터테인먼트
20198414,시동,START-UP,2019,20191218,장편,한국,드라마,최정열,"마동석,박정민,정해인,염정아,최성은",15세이상관람가,(주)넥스트엔터테인먼트월드(NEW)
20196272,미드웨이,Midway,2019,20191231,장편,미국,"액션,드라마",롤랜드 에머리히,"에드 스크레인,패트릭 윌슨,우디 해럴슨,루크 에반스,아사노 타다노부",15세이상관람가,(주)누리픽쳐스
20197803,겨울왕국 2,Frozen 2,2019,20191121,장편,미국,애니메이션,"제니퍼 리,크리스 벅","크리스틴 벨,이디나 멘젤,조시 게드,조나단 그로프",전체관람가,월트디즈니컴퍼니코리아 유한책임회사
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,The Haunted House: The Sky Ghost VS Jormungandr,2019,20191219,장편,한국,애니메이션,변영규,"김영은,김채하,신용우,양정화,김현지",전체관람가,(주)씨제이이엔엠
20192401,포드 V 페라리,FORD v FERRARI,2019,20191204,장편,미국,"액션,드라마",제임스 맨골드,"맷 데이먼,크리스찬 베일",12세이상관람가,월트디즈니컴퍼니코리아 유한책임회사
20191408,21 브릿지: 테러 셧다운,21 Bridges,2019,20200101,장편,미국,"스릴러,드라마,범죄",브라이언 커크,"채드윅 보스만,J.K. 시몬스,시에나 밀러,테일러 키취",15세이상관람가,"(주)드림팩트엔터테인먼트,(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
20198430,나이브스 아웃,KNIVES OUT,2018,20191204,장편,미국,"미스터리,스릴러",라이언 존슨,"다니엘 크레이그,크리스 에반스,아나 디 아르마스,제이미 리 커티스,마이클 섀넌",12세이상관람가,(주)올스타엔터테인먼트
20199981,눈의 여왕4,The Snow Queen: Mirrorlands,2019,20191224,장편,러시아,"애니메이션,가족,판타지,어드벤처","로버트 렌스,알렉세이 트시칠린","양정화,박지윤,임채헌,박영재,민승우",전체관람가,(주)넥스트엔터테인먼트월드(NEW)
20183002,해치지않아,SECRET ZOO,2019,20200115,장편,한국,코미디,손재곤,"안재홍,강소라,박영규,김성오,전여빈",12세이상관람가,(주)에이스메이커무비웍스
20198818,프린스 코기,The Queen's Corgi,2019,20191224,장편,벨기에,애니메이션,벤 스타센,"심규혁,김리흔,엄상현,김혜성,김현지",전체관람가,(주)이수C&E
20199581,닥터 두리틀,Dolittle,2019,20200108,장편,미국,"판타지,어드벤처",스티븐 개건,"로버트 다우니 주니어,톰 홀랜드,라미 말렉,안토니오 반데라스,마리옹 꼬띠아르",전체관람가,유니버설픽쳐스인터내셔널 코리아(유)
