movieNm,openDt,date,ratio
백두산,20191219,2019-11-21,14.9
백두산,20191219,2019-11-28,19.2
백두산,20191219,2019-12-05,34.0
백두산,20191219,2019-12-12,64.4
백두산,20191219,2019-12-19,71.5
백두산,20191219,2019-12-26,40.9
천문: 하늘에 묻는다,20191226,2019-11-28,34.5
천문: 하늘에 묻는다,20191226,2019-12-05,28.2
천문: 하늘에 묻는다,20191226,2019-12-12,45.4
천문: 하늘에 묻는다,20191226,2019-12-19,86.6
천문: 하늘에 묻는다,20191226,2019-12-26,90.5
천문: 하늘에 묻는다,20191226,2020-01-02,65.3
시동,20191218,2019-11-20,14.4
시동,20191218,2019-11-27,29.4
시동,20191218,2019-12-04,41.4
시동,20191218,2019-12-11,62.3
시동,20191218,2019-12-18,70.0
시동,20191218,2019-12-25,42.7
미드웨이,20191231,2019-12-03,12.9
미드웨이,20191231,2019-12-10,17.1
미드웨이,20191231,2019-12-17,24.7
미드웨이,20191231,2019-12-24,46.3
미드웨이,20191231,2019-12-31,55.6
미드웨이,20191231,2020-01-07,36.1
겨울왕국 2,20191121,2019-10-24,25.0
겨울왕국 2,20191121,2019-10-31,32.4
겨울왕국 2,20191121,2019-11-07,47.1
겨울왕국 2,20191121,2019-11-14,64.0
겨울왕국 2,20191121,2019-11-21,86.9
겨울왕국 2,20191121,2019-11-28,52.6
신비아파트 극장판 하늘도깨비 대 요르문간드,20191219,2019-11-21,13.6
신비아파트 극장판 하늘도깨비 대 요르문간드,20191219,2019-11-28,18.3
신비아파트 극장판 하늘도깨비 대 요르문간드,20191219,2019-12-05,27.6
신비아파트 극장판 하늘도깨비 대 요르문간드,20191219,2019-12-12,37.6
신비아파트 극장판 하늘도깨비 대 요르문간드,20191219,2019-12-19,44.6
신비아파트 극장판 하늘도깨비 대 요르문간드,20191219,2019-12-26,28.1
포드 V 페라리,20191204,2019-11-06,23.3
포드 V 페라리,20191204,2019-11-13,29.3
포드 V 페라리,20191204,2019-11-20,37.6
포드 V 페라리,20191204,2019-11-27,61.4
포드 V 페라리,20191204,2019-12-04,76.7
포드 V 페라리,20191204,2019-12-11,58.6
21 브릿지: 테러 셧다운,20200101,2019-12-04,10.7
21 브릿지: 테러 셧다운,20200101,2019-12-11,20.0
21 브릿지: 테러 셧다운,20200101,2019-12-18,25.5
21 브릿지: 테러 셧다운,20200101,2019-12-25,33.0
21 브릿지: 테러 셧다운,20200101,2020-01-01,37.3
21 브릿지: 테러 셧다운,20200101,2020-01-08,28.5
나이브스 아웃,20191204,2019-11-06,17.9
나이브스 아웃,20191204,2019-11-13,20.3
나이브스 아웃,20191204,2019-11-20,25.7
나이브스 아웃,20191204,2019-11-27,49.2
나이브스 아웃,20191204,2019-12-04,57.5
나이브스 아웃,20191204,2019-12-11,38.2
눈의 여왕4,20191224,2019-11-26,10.0
눈의 여왕4,20191224,2019-12-03,13.4
눈의 여왕4,20191224,2019-12-10,16.8
눈의 여왕4,20191224,2019-12-17,28.4
눈의 여왕4,20191224,2019-12-24,35.2
눈의 여왕4,20191224,2019-12-31,20.8
해치지않아,20200115,2019-12-18,30.2
해치지않아,20200115,2019-12-25,30.3
해치지않아,20200115,2020-01-01,43.1
해치지않아,20200115,2020-01-08,84.2
해치지않아,20200115,2020-01-15,86.8
해치지않아,20200115,2020-01-22,64.0
프린스 코기,20191224,2019-11-26,16.0
프린스 코기,20191224,2019-12-03,16.0
프린스 코기,20191224,2019-12-10,27.9
프린스 코기,20191224,2019-12-17,35.0
프린스 코기,20191224,2019-12-24,48.0
프린스 코기,20191224,2019-12-31,27.0
닥터 두리틀,20200108,2019-12-11,18.4
닥터 두리틀,20200108,2019-12-18,35.0
닥터 두리틀,20200108,2019-12-25,49.5
닥터 두리틀,20200108,2020-01-01,67.2
닥터 두리틀,20200108,2020-01-08,76.2
닥터 두리틀,20200108,2020-01-15,52.6
스타워즈: 라이즈 오브 스카이워커,20200108,2019-12-11,5.6
스타워즈: 라이즈 오브 스카이워커,20200108,2019-12-18,7.0
스타워즈: 라이즈 오브 스카이워커,20200108,2019-12-25,10.0
스타워즈: 라이즈 오브 스카이워커,20200108,2020-01-01,16.0
스타워즈: 라이즈 오브 스카이워커,20200108,2020-01-08,20.0
스타워즈: 라이즈 오브 스카이워커,20200108,2020-01-15,15.1
타발루가와 얼음공주,20200108,2019-12-11,7.2
타발루가와 얼음공주,20200108,2019-12-18,10.3
타발루가와 얼음공주,20200108,2019-12-25,12.3
타발루가와 얼음공주,20200108,2020-01-01,16.3
타발루가와 얼음공주,20200108,2020-01-08,23.5
타발루가와 얼음공주,20200108,2020-01-15,16.7
스파이 지니어스,20200122,2019-12-25,9.5
스파이 지니어스,20200122,2020-01-01,15.8
스파이 지니어스,20200122,2020-01-08,21.7
스파이 지니어스,20200122,2020-01-15,28.1
스파이 지니어스,20200122,2020-01-22,39.8
스파이 지니어스,20200122,2020-01-29,22.8
나쁜 녀석들: 포에버,20200115,2019-12-18,14.2
나쁜 녀석들: 포에버,20200115,2019-12-25,22.8
나쁜 녀석들: 포에버,20200115,2020-01-01,39.8
나쁜 녀석들: 포에버,20200115,2020-01-08,50.7
나쁜 녀석들: 포에버,20200115,2020-01-15,61.6
나쁜 녀석들: 포에버,20200115,2020-01-22,48.2
히트맨,20200122,2019-12-25,24.7
히트맨,20200122,2020-01-01,24.7
히트맨,20200122,2020-01-08,47.9
히트맨,20200122,2020-01-15,68.8
히트맨,20200122,2020-01-22,80.6
히트맨,20200122,2020-01-29,43.5
타오르는 여인의 초상,20200116,2019-12-19,12.4
타오르는 여인의 초상,20200116,2019-12-26,17.2
타오르는 여인의 초상,20200116,2020-01-02,20.9
타오르는 여인의 초상,20200116,2020-01-09,30.7
타오르는 여인의 초상,20200116,2020-01-16,35.8
타오르는 여인의 초상,20200116,2020-01-23,24.5
아내를 죽였다,20191211,2019-11-13,5.2
아내를 죽였다,20191211,2019-11-20,10.2
아내를 죽였다,20191211,2019-11-27,13.2
아내를 죽였다,20191211,2019-12-04,18.7
아내를 죽였다,20191211,2019-12-11,25.3
아내를 죽였다,20191211,2019-12-18,14.7
남산의 부장들,20200122,2019-12-25,26.2
남산의 부장들,20200122,2020-01-01,33.5
남산의 부장들,20200122,2020-01-08,48.5
남산의 부장들,20200122,2020-01-15,80.2
남산의 부장들,20200122,2020-01-22,84.2
남산의 부장들,20200122,2020-01-29,66.0
미스터 주: 사라진 VIP,20200122,2019-12-25,11.8
미스터 주: 사라진 VIP,20200122,2020-01-01,20.7
미스터 주: 사라진 VIP,20200122,2020-01-08,35.5
미스터 주: 사라진 VIP,20200122,2020-01-15,47.0
미스터 주: 사라진 VIP,20200122,2020-01-22,56.4
미스터 주: 사라진 VIP,20200122,2020-01-29,32.6
오즈의 마법사: 요술구두와 말하는 책,20200122,2019-12-25,5.0
오즈의 마법사: 요술구두와 말하는 책,20200122,2020-01-01,6.1
오즈의 마법사: 요술구두와 말하는 책,20200122,2020-01-08,12.5
